medal_type,medal_code,name,country,country_code,nationality,discipline,event,birth_date,code
Gold Medal,1,LAVELLE Rose,United States,USA,United States,Football,Women,1995-05-14,1943567
Gold Medal,1,COFFEY Samantha,United States,USA,United States,Football,Women,1998-12-31,1943547
Gold Medal,1,MURPHY Casey,United States,USA,United States,Football,Women,1996-04-25,1943574
Gold Medal,1,BETHUNE Croix,United States,USA,United States,Football,Women,2001-03-14,4665325
Gold Medal,1,SAMS Emily,United States,USA,United States,Football,Women,1999-07-01,1943569
Silver Medal,2,LORENA,Brazil,BRA,Brazil,Football,Women,1997-05-06,1967608
Silver Medal,2,ANTONIA,Brazil,BRA,Brazil,Football,Women,1994-04-26,1967575
Silver Medal,2,TARCIANE,Brazil,BRA,Brazil,Football,Women,2003-05-27,1967629
Silver Medal,2,RAFAELLE,Brazil,BRA,Brazil,Football,Women,1991-06-18,1967625
Silver Medal,2,DUDA SAMPAIO,Brazil,BRA,Brazil,Football,Women,2001-05-18,1967616
Silver Medal,2,TAMIRES,Brazil,BRA,Brazil,Football,Women,1987-10-10,1967626
Silver Medal,2,KEROLIN,Brazil,BRA,Brazil,Football,Women,1999-11-17,1967602
Silver Medal,2,VITORIA YAYA,Brazil,BRA,Brazil,Football,Women,2002-01-23,1967635
Silver Medal,2,ADRIANA,Brazil,BRA,Brazil,Football,Women,1996-11-17,1967574
Silver Medal,2,MARTA,Brazil,BRA,Brazil,Football,Women,1986-02-19,1967617
Silver Medal,2,JHENIFFER,Brazil,BRA,Brazil,Football,Women,2001-11-06,1967599
Silver Medal,2,TAINA,Brazil,BRA,Brazil,Football,Women,1995-05-01,1967630
Silver Medal,2,YASMIM,Brazil,BRA,Brazil,Football,Women,1996-10-28,1967636
Silver Medal,2,LUDMILA,Brazil,BRA,Brazil,Football,Women,1994-12-01,1967612
Silver Medal,2,THAIS,Brazil,BRA,Brazil,Football,Women,1996-05-01,1967628
Silver Medal,2,GABI NUNES,Brazil,BRA,Brazil,Football,Women,1997-03-10,1967594
Silver Medal,2,ANA VITORIA,Brazil,BRA,Brazil,Football,Women,2000-03-06,1967565
Silver Medal,2,GABI PORTILHO,Brazil,BRA,Brazil,Football,Women,1995-07-18,1967593
Silver Medal,2,PRISCILA,Brazil,BRA,Brazil,Football,Women,2004-08-22,1967623
Silver Medal,2,ANGELINA,Brazil,BRA,Brazil,Football,Women,2000-01-26,1967567
Silver Medal,2,LAUREN,Brazil,BRA,Brazil,Football,Women,2002-09-13,1967606
Silver Medal,2,LUCIANA,Brazil,BRA,Brazil,Football,Women,1987-07-24,1967607
Gold Medal,1,KRISTIANSEN Veronica,Norway,NOR,Norway,Handball,Women,1990-07-10,1878514
Gold Medal,1,AARDAHL Maren,Norway,NOR,Norway,Handball,Women,1994-03-02,1878518
Gold Medal,1,SKOGRAND Stine,Norway,NOR,Norway,Handball,Women,1993-03-03,1878496
Gold Medal,1,MOERK Nora,Norway,NOR,Norway,Handball,Women,1991-04-05,1878486
Gold Medal,1,OFTEDAL Stine Bredal,Norway,NOR,Norway,Handball,Women,1991-09-25,1878515
Gold Medal,1,SOLBERG-OESTHASSEL Silje,Norway,NOR,Norway,Handball,Women,1990-06-16,1878492
Gold Medal,1,BRATTSET DALE Kari,Norway,NOR,Norway,Handball,Women,1991-02-15,1878516
Gold Medal,1,BREISTOEL Kristine,Norway,NOR,Norway,Handball,Women,1993-08-23,1878511
Gold Medal,1,INGSTAD Vilde,Norway,NOR,Norway,Handball,Women,1994-12-18,1878493
Gold Medal,1,LUNDE Katrine,Norway,NOR,Norway,Handball,Women,1980-03-30,1878509
Gold Medal,1,JACOBSEN Marit,Norway,NOR,Norway,Handball,Women,1994-02-25,1878501
Gold Medal,1,HERREM Camilla,Norway,NOR,Norway,Handball,Women,1986-10-08,1878487
Gold Medal,1,SOLBERG-ISAKSEN Sanna,Norway,NOR,Norway,Handball,Women,1990-06-16,1878500
Gold Medal,1,REISTAD Henny,Norway,NOR,Norway,Handball,Women,1999-02-09,1878495
Gold Medal,1,RUSHFELDT DEILA Thale,Norway,NOR,Norway,Handball,Women,2000-01-15,1878490
Silver Medal,2,GLAUSER Laura,France,FRA,France,Handball,Women,1993-08-20,1879834
Silver Medal,2,NOCANDY Meline,France,FRA,France,Handball,Women,1998-02-25,1879845
Silver Medal,2,TOUBLANC Alicia,France,FRA,France,Handball,Women,1996-05-03,1879853
Silver Medal,2,VALENTINI Chloe,France,FRA,France,Handball,Women,1995-04-19,1879854
Silver Medal,2,LASSOURCE Coralie,France,FRA,France,Handball,Women,1992-09-01,1879842
Silver Medal,2,ZAADI DEUNA Grace,France,FRA,France,Handball,Women,1993-07-07,1879856
Silver Medal,2,DARLEUX MINGAM Cleopatre,France,FRA,France,Handball,Women,1989-07-01,1879826
Silver Medal,2,FLIPPES Laura,France,FRA,France,Handball,Women,1994-12-13,1879830
Silver Medal,2,KANOR Orlane,France,FRA,France,Handball,Women,1997-06-16,1879839
Silver Medal,2,HORACEK Tamara,France,FRA,France,Handball,Women,1995-11-05,1893824
Silver Medal,2,FOPPA Pauletta,France,FRA,France,Handball,Women,2000-12-22,1879831
Silver Medal,2,NZE MINKO Estelle,France,FRA,France,Handball,Women,1991-08-11,1879846
Silver Medal,2,ONDONO Onacia,France,FRA,France,Handball,Women,1996-04-14,1879847
Silver Medal,2,GRANIER Lucie,France,FRA,France,Handball,Women,1999-06-11,1879836
Silver Medal,2,BOUKTIT Sarah,France,FRA,France,Handball,Women,2002-08-27,1946320
Silver Medal,2,GRANDVEAU Lena,France,FRA,France,Handball,Women,2003-01-21,1879835
Silver Medal,2,SAKO Hatadou,France,FRA,France,Handball,Women,1995-10-21,1879851
Bronze Medal,3,TOFT Sandra,Denmark,DEN,Denmark,Handball,Women,1989-10-18,1895245
Bronze Medal,3,AABERG IVERSEN Sarah,Denmark,DEN,Denmark,Handball,Women,1990-04-10,1895210
Bronze Medal,3,ELVER Helena,Denmark,DEN,Denmark,Handball,Women,1998-03-01,1895215
Bronze Medal,3,HANSEN Anne Mette,Denmark,DEN,Denmark,Handball,Women,1994-08-25,1895159
Bronze Medal,3,HEINDAHL Kathrine,Denmark,DEN,Denmark,Handball,Women,1992-03-26,1895232
Bronze Medal,3,HAUGSTED Line,Denmark,DEN,Denmark,Handball,Women,1994-11-11,1895250
Bronze Medal,3,REINHARDT Althea,Denmark,DEN,Denmark,Handball,Women,1996-09-01,1895246
Bronze Medal,3,TRANBORG Mette,Denmark,DEN,Denmark,Handball,Women,1996-01-01,1895168
Bronze Medal,3,JOERGENSEN Kristina,Denmark,DEN,Denmark,Handball,Women,1998-01-17,1895224
Bronze Medal,3,OESTERGAARD Trine,Denmark,DEN,Denmark,Handball,Women,1991-10-17,1895214
Bronze Medal,3,VINTER BURGAARD Louise,Denmark,DEN,Denmark,Handball,Women,1992-10-17,1895187
Bronze Medal,3,HOEJLUND Mie,Denmark,DEN,Denmark,Handball,Women,1997-10-24,1895213
Bronze Medal,3,FRIIS Emma,Denmark,DEN,Denmark,Handball,Women,1999-10-31,1895152
Bronze Medal,3,IVERSEN Rikke,Denmark,DEN,Denmark,Handball,Women,1993-05-18,1895226
Bronze Medal,3,MOELLER Michala,Denmark,DEN,Denmark,Handball,Women,2000-02-16,1895166
Gold Medal,1,CHEN Meng,China,CHN,China,Table Tennis,Women's Team,1994-01-15,1902307
Gold Medal,1,SUN Yingsha,China,CHN,China,Table Tennis,Women's Team,2000-11-04,1902313
Gold Medal,1,WANG Manyu,China,CHN,China,Table Tennis,Women's Team,1999-02-09,1902314
Silver Medal,2,HAYATA Hina,Japan,JPN,Japan,Table Tennis,Women's Team,2000-07-07,1931100
Silver Medal,2,HARIMOTO Miwa,Japan,JPN,Japan,Table Tennis,Women's Team,2008-06-16,1931098
Silver Medal,2,HIRANO Miu,Japan,JPN,Japan,Table Tennis,Women's Team,2000-04-14,1931101
Bronze Medal,3,SHIN Yubin,Korea,KOR,Korea,Table Tennis,Women's Team,2004-07-05,1936435
Bronze Medal,3,JEON Jihee,Korea,KOR,Korea,Table Tennis,Women's Team,1992-10-28,1936419
Bronze Medal,3,LEE Eunhye,Korea,KOR,Korea,Table Tennis,Women's Team,1995-05-02,1936425
Gold Medal,1,GREBENNIKOV Jenia,France,FRA,France,Volleyball,Men,1990-08-13,1574049
Gold Medal,1,CHINENYEZE Barthelemy,France,FRA,France,Volleyball,Men,1998-02-28,1574045
Gold Medal,1,JOUFFROY Quentin,France,FRA,France,Volleyball,Men,1993-07-05,1574055
Gold Medal,1,le GOFF Nicolas,France,FRA,France,Volleyball,Men,1992-02-15,1574057
Gold Medal,1,FAURE Theo,France,FRA,France,Volleyball,Men,1999-10-12,1574048
Gold Medal,1,PATRY Jean,France,FRA,France,Volleyball,Men,1996-12-27,1574061
Gold Medal,1,BRIZARD Antoine,France,FRA,France,Volleyball,Men,1994-05-22,1574041
Gold Medal,1,TONIUTTI Benjamin,France,FRA,France,Volleyball,Men,1989-10-30,1574067
Gold Medal,1,CLEVENOT Trevor,France,FRA,France,Volleyball,Men,1994-06-28,1574046
Gold Medal,1,LOUATI Yacine,France,FRA,France,Volleyball,Men,1992-03-04,1574058
Gold Medal,1,NGAPETH Earvin,France,FRA,France,Volleyball,Men,1991-02-12,1574060
Gold Medal,1,TILLIE Kevin,France,FRA,France,Volleyball,Men,1990-11-02,1574065
Gold Medal,1,CARLE Timothee,France,FRA,France,Volleyball,Men,1995-11-30,1574043
Silver Medal,2,KACZMAREK Lukasz,Poland,POL,Poland,Volleyball,Men,1994-06-29,1902882
Silver Medal,2,KUREK Bartosz,Poland,POL,Poland,Volleyball,Men,1988-08-29,1902890
Silver Medal,2,LEON VENERO Wilfredo,Poland,POL,Poland,Volleyball,Men,1993-07-31,1902892
Silver Medal,2,SLIWKA Aleksander,Poland,POL,Poland,Volleyball,Men,1995-05-24,1902902
Silver Medal,2,LOMACZ Grzegorz,Poland,POL,Poland,Volleyball,Men,1987-10-01,1902893
Silver Medal,2,KOCHANOWSKI Jakub,Poland,POL,Poland,Volleyball,Men,1997-07-17,1902886
Silver Medal,2,SEMENIUK Kamil,Poland,POL,Poland,Volleyball,Men,1996-07-16,1902901
Silver Medal,2,ZATORSKI Pawel,Poland,POL,Poland,Volleyball,Men,1990-06-21,1902910
Silver Medal,2,JANUSZ Marcin,Poland,POL,Poland,Volleyball,Men,1994-07-31,1902881
Silver Medal,2,BIENIEK Mateusz,Poland,POL,Poland,Volleyball,Men,1994-04-05,1902869
Silver Medal,2,FORNAL Tomasz,Poland,POL,Poland,Volleyball,Men,1997-08-31,1902875
Silver Medal,2,HUBER Norbert,Poland,POL,Poland,Volleyball,Men,1998-08-14,1902880
Silver Medal,2,BOLADZ Bartlomiej,Poland,POL,Poland,Volleyball,Men,1994-09-28,1902870
Bronze Medal,3,DUARTE ALECRIM Diana,Brazil,BRA,Brazil,Volleyball,Women,1999-02-22,1964076
Bronze Medal,3,ALEXANDRE COSTA NUNES Nyeme Victor,Brazil,BRA,Brazil,Volleyball,Women,1998-10-11,1964152
Bronze Medal,3,SILVA CARNEIRO Macris Fernanda,Brazil,BRA,Brazil,Volleyball,Women,1989-03-03,1964140
Bronze Medal,3,DAHER de MENEZES Thaisa,Brazil,BRA,Brazil,Volleyball,Women,1987-05-15,1964180
Bronze Medal,3,MONTIBELLER Rosamaria,Brazil,BRA,Brazil,Volleyball,Women,1994-04-09,1964167
Bronze Medal,3,RATZKE Roberta Silva,Brazil,BRA,Brazil,Volleyball,Women,1990-04-28,1964169
Bronze Medal,3,BRAGA GUIMARAES Gabriela,Brazil,BRA,Brazil,Volleyball,Women,1994-05-19,1964094
Bronze Medal,3,MENEZES OLIVEIRA de SOUZA Ana Cris,Brazil,BRA,Brazil,Volleyball,Women,2004-04-07,1964065
Bronze Medal,3,da SILVA Ana Carolina,Brazil,BRA,Brazil,Volleyball,Women,1991-04-08,1964063
Bronze Medal,3,BERGMANN Julia Isabelle,Brazil,BRA,Brazil,Volleyball,Women,2001-02-21,1964106
Bronze Medal,3,LEMES SANTOS Tainara,Brazil,BRA,Brazil,Volleyball,Women,2000-03-09,1964183
Bronze Medal,3,GERALDO TEIXEIRA Lorenne,Brazil,BRA,Brazil,Volleyball,Women,1996-01-08,1964136
Bronze Medal,3,ARAUJO Natalia,Brazil,BRA,Brazil,Volleyball,Women,1997-04-10,1964151
Gold Medal,1,ESTER RAMOS Laura,Spain,ESP,Spain,Water Polo,Women,1990-01-22,1954878
Gold Medal,1,PIRALKOVA COELLO Isabel,Spain,ESP,Spain,Water Polo,Women,2005-06-23,1954897
Gold Medal,1,ESPAR LLAQUET Anni,Spain,ESP,Spain,Water Polo,Women,1993-01-08,1954877
Gold Medal,1,ORTIZ Bea,Spain,ESP,Spain,Water Polo,Women,1995-06-21,1954893
Gold Medal,1,PEREZ VIVAS Nona,Spain,ESP,Spain,Water Polo,Women,2003-04-10,1954895
Gold Medal,1,CRESPI BARRIGA Paula,Spain,ESP,Spain,Water Polo,Women,1998-04-07,1954875
Gold Medal,1,RUIZ BARRIL Elena,Spain,ESP,Spain,Water Polo,Women,2004-10-29,1954900
Gold Medal,1,PENA Pili,Spain,ESP,Spain,Water Polo,Women,1986-04-04,1954894
Gold Medal,1,FORCA ARIZA Judith,Spain,ESP,Spain,Water Polo,Women,1996-06-07,1954880
Gold Medal,1,CAMUS Paula,Spain,ESP,Spain,Water Polo,Women,2002-02-12,1954874
Gold Medal,1,GARCIA GODOY Maica,Spain,ESP,Spain,Water Polo,Women,1990-10-17,1954881
Gold Medal,1,LEITON ARRONES Paula,Spain,ESP,Spain,Water Polo,Women,2000-04-27,1954886
Gold Medal,1,TERRE Martina,Spain,ESP,Spain,Water Polo,Women,2002-08-28,1954903
Silver Medal,2,PALM Gabriella,Australia,AUS,Australia,Water Polo,Women,1998-05-20,1947514
Silver Medal,2,GOFERS Keesja,Australia,AUS,Australia,Water Polo,Women,1990-03-16,1947523
Silver Medal,2,ARMIT Elle,Australia,AUS,Australia,Water Polo,Women,1991-08-20,1947513
Silver Medal,2,HALLIGAN Bronte,Australia,AUS,Australia,Water Polo,Women,1996-08-12,1947506
Silver Medal,2,GREEN Sienna,Australia,AUS,Australia,Water Polo,Women,2004-11-01,1947540
Silver Medal,2,ANDREWS Abby,Australia,AUS,Australia,Water Polo,Women,2000-11-28,1947497
Silver Medal,2,ANDREWS Charlize,Australia,AUS,Australia,Water Polo,Women,2001-12-26,1947508
Silver Medal,2,HEARN Sienna,Australia,AUS,Australia,Water Polo,Women,2002-07-16,1947541
Silver Medal,2,ARANCINI Zoe,Australia,AUS,Australia,Water Polo,Women,1991-07-14,1947546
Silver Medal,2,WILLIAMS Alice,Australia,AUS,Australia,Water Polo,Women,1998-12-24,1947498
Silver Medal,2,KEARNS Tilly,Australia,AUS,Australia,Water Polo,Women,2000-10-02,1947528
Silver Medal,2,JACKOVICH Danijela,Australia,AUS,Australia,Water Polo,Women,1994-11-04,1947512
Silver Medal,2,LONGMAN Genevieve,Australia,AUS,Australia,Water Polo,Women,1995-10-02,1947515
Bronze Medal,3,AARTS Laura,Netherlands,NED,Netherlands,Water Polo,Women,1996-08-10,1968845
Bronze Medal,3,WOLVES Iris,Netherlands,NED,Netherlands,Water Polo,Women,1994-05-09,1968848
Bronze Medal,3,SLEEKING Brigitte,Netherlands,NED,Netherlands,Water Polo,Women,1998-03-19,1968857
Bronze Medal,3,van der SLOOT Sabrina,Netherlands,NED,Netherlands,Water Polo,Women,1991-03-16,1968858
Bronze Medal,3,KEUNING Maartje,Netherlands,NED,Netherlands,Water Polo,Women,1998-04-26,1968860
Bronze Medal,3,van de KRAATS Simone,Netherlands,NED,Netherlands,Water Polo,Women,2000-11-15,1968855
Bronze Medal,3,ROGGE Bente,Netherlands,NED,Netherlands,Water Polo,Women,1997-10-02,1968851
Bronze Medal,3,SEVENICH Vivian,Netherlands,NED,Netherlands,Water Polo,Women,1993-02-28,1968847
Bronze Medal,3,JOUSTRA Kittylynn,Netherlands,NED,Netherlands,Water Polo,Women,1998-01-11,1968856
Bronze Medal,3,ROGGE Lieke,Netherlands,NED,Netherlands,Water Polo,Women,2000-11-30,1968850
Bronze Medal,3,MOOLHUIJZEN Lola,Netherlands,NED,Netherlands,Water Polo,Women,2004-08-17,1968854
Bronze Medal,3,TEN BROEK Nina,Netherlands,NED,Netherlands,Water Polo,Women,2001-07-04,1968853
Bronze Medal,3,BUIS Sarah,Netherlands,NED,Netherlands,Water Polo,Women,2000-03-20,1968846
Gold Medal,1,LOYD Jewell,United States,USA,United States,Basketball,Women,1993-10-05,1954742
Gold Medal,1,PLUM Kelsey,United States,USA,United States,Basketball,Women,1994-08-24,1954748
Gold Medal,1,IONESCU Sabrina,United States,USA,United States,Basketball,Women,1997-12-06,1954739
Gold Medal,1,COPPER Kahleah,United States,USA,United States,Basketball,Women,1994-08-28,1954730
Gold Medal,1,GRAY Chelsea,United States,USA,United States,Basketball,Women,1992-10-08,1954734
Gold Medal,1,WILSON A'ja,United States,USA,United States,Basketball,Women,1996-08-08,1954757
Gold Medal,1,STEWART Breanna,United States,USA,United States,Basketball,Women,1994-08-27,1954752
Gold Medal,1,COLLIER Napheesa,United States,USA,United States,Basketball,Women,1996-09-23,1954729
Gold Medal,1,TAURASI Diana,United States,USA,United States,Basketball,Women,1982-06-11,1954753
Gold Medal,1,YOUNG Jackie,United States,USA,United States,Basketball,Women,1997-09-16,1954758
Gold Medal,1,THOMAS Alyssa,United States,USA,United States,Basketball,Women,1992-04-12,1954754
Gold Medal,1,GRINER Brittney,United States,USA,United States,Basketball,Women,1990-10-18,1954735
Silver Medal,2,FAUTHOUX Marine,France,FRA,France,Basketball,Women,2001-01-23,1573445
Silver Medal,2,CHERY Alexia,France,FRA,France,Basketball,Women,1998-09-05,1573442
Silver Medal,2,MICHEL BOURY Sarah,France,FRA,France,Basketball,Women,1989-01-10,1573452
Silver Medal,2,AYAYI Valeriane,France,FRA,France,Basketball,Women,1994-04-29,1573439
Silver Medal,2,RUPERT Iliana,France,FRA,France,Basketball,Women,2001-07-12,1573454
Silver Medal,2,SALAUN Janelle,France,FRA,France,Basketball,Women,2001-09-05,1573455
Silver Medal,2,MALONGA Dominique,France,FRA,France,Basketball,Women,2005-11-16,1573451
Silver Medal,2,WILLIAMS Gabby,France,FRA,France,Basketball,Women,1996-09-09,1573457
Silver Medal,2,BADIANE Marieme,France,FRA,France,Basketball,Women,1994-11-24,1573440
Silver Medal,2,JOHANNES Marine,France,FRA,France,Basketball,Women,1995-01-21,1573448
Silver Medal,2,LACAN Leila,France,FRA,France,Basketball,Women,2004-06-02,1573449
Silver Medal,2,BERNIES Romane,France,FRA,France,Basketball,Women,1993-06-27,1573441
Bronze Medal,3,MELBOURNE Jade,Australia,AUS,Australia,Basketball,Women,2002-08-18,1939955
Bronze Medal,3,WALLACE Kristy,Australia,AUS,Australia,Basketball,Women,1996-01-03,1939956
Bronze Medal,3,TALBOT Steph,Australia,AUS,Australia,Basketball,Women,1994-06-15,1939970
Bronze Medal,3,MADGEN Tess,Australia,AUS,Australia,Basketball,Women,1990-08-12,1939971
Bronze Medal,3,SMITH Alanna,Australia,AUS,Australia,Basketball,Women,1996-09-10,1939943
Bronze Medal,3,MAGBEGOR Ezi,Australia,AUS,Australia,Basketball,Women,1999-08-13,1939952
Bronze Medal,3,TOLO Marianna,Australia,AUS,Australia,Basketball,Women,1989-07-02,1939964
Bronze Medal,3,GEORGE Cayla,Australia,AUS,Australia,Basketball,Women,1989-05-01,1939948
Bronze Medal,3,ATWELL Amy,Australia,AUS,Australia,Basketball,Women,1998-06-30,1939946
Bronze Medal,3,BORLASE Isobel,Australia,AUS,Australia,Basketball,Women,2004-09-12,1939954
Bronze Medal,3,JACKSON Lauren,Australia,AUS,Australia,Basketball,Women,1981-05-11,1939959
Bronze Medal,3,WHITCOMB Sami,Australia,AUS,Australia,Basketball,Women,1988-07-20,1939967
Gold Medal,1,JACOBSEN Niklas Landin,Denmark,DEN,Denmark,Handball,Men,1988-12-19,1895223
Gold Medal,1,KIRKELOEKKE Niclas,Denmark,DEN,Denmark,Handball,Men,1994-03-26,1895248
Gold Medal,1,JACOBSEN Magnus Landin,Denmark,DEN,Denmark,Handball,Men,1995-08-20,1895241
Gold Medal,1,JAKOBSEN Emil,Denmark,DEN,Denmark,Handball,Men,1998-01-24,1895238
Gold Medal,1,LAUGE Rasmus,Denmark,DEN,Denmark,Handball,Men,1991-06-20,1895239
Gold Medal,1,NIELSEN Emil,Denmark,DEN,Denmark,Handball,Men,1997-03-10,1895202
Gold Medal,1,SAUGSTRUP Magnus,Denmark,DEN,Denmark,Handball,Men,1996-07-12,1895227
Gold Medal,1,LINDBERG Hans,Denmark,DEN,Denmark,Handball,Men,1981-08-01,1895228
Gold Medal,1,GIDSEL Mathias,Denmark,DEN,Denmark,Handball,Men,1999-02-08,1895237
Gold Medal,1,MOELLGAARD Henrik,Denmark,DEN,Denmark,Handball,Men,1985-01-02,1895172
Gold Medal,1,HANSEN Mikkel,Denmark,DEN,Denmark,Handball,Men,1987-10-22,1895235
Gold Medal,1,JOERGENSEN Lukas,Denmark,DEN,Denmark,Handball,Men,1999-03-31,1895161
Gold Medal,1,ANDERSSON Lasse,Denmark,DEN,Denmark,Handball,Men,1994-03-11,1895178
Gold Medal,1,HALD Simon,Denmark,DEN,Denmark,Handball,Men,1994-09-28,1895234
Gold Medal,1,ARNOLDSEN Thomas,Denmark,DEN,Denmark,Handball,Men,2002-01-11,1895236
Gold Medal,1,PYTLICK Simon,Denmark,DEN,Denmark,Handball,Men,2000-12-11,1895180
Silver Medal,2,SPAETH David,Germany,GER,Germany,Handball,Men,2002-04-29,1899256
Silver Medal,2,GOLLA Johannes,Germany,GER,Germany,Handball,Men,1997-11-05,1899239
Silver Medal,2,WITZKE Luca,Germany,GER,Germany,Handball,Men,1999-04-03,1899226
Silver Medal,2,HEYMANN Sebastian,Germany,GER,Germany,Handball,Men,1998-03-01,1899206
Silver Medal,2,FISCHER Justus,Germany,GER,Germany,Handball,Men,2003-02-06,1899237
Silver Medal,2,KNORR Juri,Germany,GER,Germany,Handball,Men,2000-05-09,1899214
Silver Medal,2,KOESTER Julian,Germany,GER,Germany,Handball,Men,2000-03-16,1899227
Silver Medal,2,USCINS Renars,Germany,GER,Germany,Handball,Men,2002-04-29,1899231
Silver Medal,2,HAEFNER Kai,Germany,GER,Germany,Handball,Men,1989-07-10,1899185
Silver Medal,2,HORNKE Tim,Germany,GER,Germany,Handball,Men,1990-08-04,1899247
Silver Medal,2,WOLFF Andreas,Germany,GER,Germany,Handball,Men,1991-03-03,1899193
Silver Medal,2,DAHMKE Rune,Germany,GER,Germany,Handball,Men,1993-04-10,1899181
Silver Medal,2,MERTENS Lukas,Germany,GER,Germany,Handball,Men,1996-03-22,1899252
Silver Medal,2,STEINERT Christoph,Germany,GER,Germany,Handball,Men,1990-01-18,1899246
Silver Medal,2,GRGIC Marko,Germany,GER,Germany,Handball,Men,2003-09-11,3546884
Silver Medal,2,KOHLBACHER Jannik,Germany,GER,Germany,Handball,Men,1995-07-19,1899187
Bronze Medal,3,PEREZ de VARGAS Gonzalo,Spain,ESP,Spain,Handball,Men,1991-01-10,1948272
Bronze Medal,3,MAQUEDA Jorge,Spain,ESP,Spain,Handball,Men,1988-02-06,1948260
Bronze Medal,3,DUJSHEBAEV Alex,Spain,ESP,Spain,Handball,Men,1992-12-17,1948239
Bronze Medal,3,CORRALES Rodrigo,Spain,ESP,Spain,Handball,Men,1991-01-24,1948238
Bronze Medal,3,FIGUERAS Adrian,Spain,ESP,Spain,Handball,Men,1988-08-31,1948246
Bronze Medal,3,GARCIANDIA Imanol,Spain,ESP,Spain,Handball,Men,1995-04-30,1948251
Bronze Medal,3,SERDIO Abel,Spain,ESP,Spain,Handball,Men,1994-04-16,1948281
Bronze Medal,3,CASADO Agustin,Spain,ESP,Spain,Handball,Men,1996-05-21,1948233
Bronze Medal,3,GOMEZ Aleix,Spain,ESP,Spain,Handball,Men,1997-05-07,1948252
Bronze Medal,3,TARRAFETA Ian,Spain,ESP,Spain,Handball,Men,1999-01-04,1948288
Bronze Medal,3,SANCHEZ-MIGALLON Miguel,Spain,ESP,Spain,Handball,Men,1995-02-08,1948280
Bronze Medal,3,DUJSHEBAEV Daniel,Spain,ESP,Spain,Handball,Men,1997-07-04,1948240
Bronze Medal,3,ODRIOZOLA Kauldi,Spain,ESP,Spain,Handball,Men,1997-01-07,1948268
Bronze Medal,3,FERNANDEZ Daniel,Spain,ESP,Spain,Handball,Men,2001-03-28,1948244
Bronze Medal,3,RODRIGUEZ Javier,Spain,ESP,Spain,Handball,Men,2002-07-22,1948278
Gold Medal,1,CAMBI Carlotta,Italy,ITA,Italy,Volleyball,Women,1996-05-28,1921740
Gold Medal,1,de GENNARO Monica,Italy,ITA,Italy,Volleyball,Women,1987-01-08,1921757
Gold Medal,1,ORRO Alessia,Italy,ITA,Italy,Volleyball,Women,1998-07-18,1921738
Gold Medal,1,BOSETTI Caterina Chiara,Italy,ITA,Italy,Volleyball,Women,1994-02-02,1921747
Gold Medal,1,DANESI Anna,Italy,ITA,Italy,Volleyball,Women,1996-04-20,1921751
